n|p|i|max_pos|max_pos_group|df|idf|dfidf
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
21|2.176923778642097e-05|15.487349579588754|NN|NN|18|6.767448818749837|121.81407873749706
3|3.109891112345853e-06|18.294704501646358|JJ|JJ|1|10.93737382019215|10.93737382019215
9|9.32967333703756e-06|16.7097420009252|RB|RB|3|9.352411319470992|28.057233958412976
6|6.219782224691706e-06|17.294704501646358|NNS|NN|3|9.352411319470992|28.057233958412976
1|1.036630370781951e-06|19.879667002367515|VBN|VB|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|NNS|NN|3|9.352411319470992|28.057233958412976
1|1.036630370781951e-06|19.879667002367515|VBN|VB|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NNS|NN|1|10.93737382019215|10.93737382019215
2|2.073260741563902e-06|18.879667002367515|VB|VB|2|9.93737382019215|19.8747476403843
5|5.183151853909755e-06|17.55773890748015|VBD|VB|5|8.615445725304786|43.07722862652393
4|4.146521483127804e-06|17.879667002367515|NNS|NN|4|8.93737382019215|35.7494952807686
3|3.109891112345853e-06|18.294704501646358|NN|NN|2|9.93737382019215|19.8747476403843
2|2.073260741563902e-06|18.879667002367515|VBG|VB|2|9.93737382019215|19.8747476403843
1|1.036630370781951e-06|19.879667002367515|RB|RB|1|10.93737382019215|10.93737382019215
41|4.250184520205999e-05|14.52211499774943|NN|NN|15|7.03048322458363|105.45724836875445
2|2.073260741563902e-06|18.879667002367515|NN|NN|2|9.93737382019215|19.8747476403843
1|1.036630370781951e-06|19.879667002367515|JJ|JJ|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|JJ|JJ|3|9.352411319470992|28.057233958412976
3|3.109891112345853e-06|18.294704501646358|NNS|NN|3|9.352411319470992|28.057233958412976
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
7|7.256412595473657e-06|17.07231208030991|NNS|NN|7|8.130018898134544|56.91013228694181
1|1.036630370781951e-06|19.879667002367515|VBN|VB|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|IN|IN|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
4|4.146521483127804e-06|17.879667002367515|NNS|NN|3|9.352411319470992|28.057233958412976
1|1.036630370781951e-06|19.879667002367515|VBP|VB|1|10.93737382019215|10.93737382019215
6|6.219782224691706e-06|17.294704501646358|VBN|VB|6|8.352411319470992|50.11446791682595
12|1.2439564449383412e-05|16.294704501646358|VBN|VB|11|7.477942201554852|82.25736421710337
12|1.2439564449383412e-05|16.294704501646358|NN|NN|11|7.477942201554852|82.25736421710337
3|3.109891112345853e-06|18.294704501646358|NNS|NN|3|9.352411319470992|28.057233958412976
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
12|1.2439564449383412e-05|16.294704501646358|NN|NN|9|7.767448818749837|69.90703936874853
4|4.146521483127804e-06|17.879667002367515|NNS|NN|4|8.93737382019215|35.7494952807686
2|2.073260741563902e-06|18.879667002367515|VB|VB|2|9.93737382019215|19.8747476403843
2|2.073260741563902e-06|18.879667002367515|VBD|VB|2|9.93737382019215|19.8747476403843
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NNS|NN|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|NNS|NN|3|9.352411319470992|28.057233958412976
2|2.073260741563902e-06|18.879667002367515|JJ|JJ|2|9.93737382019215|19.8747476403843
6|6.219782224691706e-06|17.294704501646358|JJ|JJ|4|8.93737382019215|35.7494952807686
2|2.073260741563902e-06|18.879667002367515|NN|NN|2|9.93737382019215|19.8747476403843
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|JJ|JJ|1|10.93737382019215|10.93737382019215
27|2.7989020011112676e-05|15.124779500204045|JJ|JJ|17|6.84991097894181|116.44848664201076
1|1.036630370781951e-06|19.879667002367515|VBG|VB|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|VB|VB|3|9.352411319470992|28.057233958412976
2|2.073260741563902e-06|18.879667002367515|VBN|VB|2|9.93737382019215|19.8747476403843
1|1.036630370781951e-06|19.879667002367515|JJ|JJ|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|VBP|VB|1|10.93737382019215|10.93737382019215
2|2.073260741563902e-06|18.879667002367515|JJ|JJ|2|9.93737382019215|19.8747476403843
11|1.1402934078601461e-05|16.420235383730216|VBN|VB|3|9.352411319470992|28.057233958412976
1|1.036630370781951e-06|19.879667002367515|VB|VB|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|JJ|JJ|3|9.352411319470992|28.057233958412976
7|7.256412595473657e-06|17.07231208030991|NNS|NN|7|8.130018898134544|56.91013228694181
7|7.256412595473657e-06|17.07231208030991|IN|IN|3|9.352411319470992|28.057233958412976
2|2.073260741563902e-06|18.879667002367515|JJ|JJ|2|9.93737382019215|19.8747476403843
60|6.219782224691707e-05|13.972776406758996|IN|IN|49|5.3226639760769405|260.8105348277701
195|0.00020214292230248045|12.272336688617903|NN|VB|124|3.983177509805274|493.914011215854
3|3.109891112345853e-06|18.294704501646358|JJ|JJ|3|9.352411319470992|28.057233958412976
7|7.256412595473657e-06|17.07231208030991|VBD|VB|6|8.352411319470992|50.11446791682595
105|0.00010884618893210486|13.165421484701392|VBP|VB|72|4.767448818749837|343.2563149499882
35|3.6282062977368284e-05|14.750383985422548|VBG|VB|27|6.182486318028681|166.92713058677438
57|5.9087931134571206e-05|14.046776988202772|NN|NN|21|6.545056397413389|137.44618434568116
8|8.293042966255608e-06|16.879667002367515|NNS|NN|8|7.937373820192149|63.49899056153719
5|5.183151853909755e-06|17.55773890748015|VB|VB|2|9.93737382019215|19.8747476403843
1|1.036630370781951e-06|19.879667002367515|VBD|VB|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|JJ|JJ|3|9.352411319470992|28.057233958412976
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
2|2.073260741563902e-06|18.879667002367515|NNS|NN|2|9.93737382019215|19.8747476403843
1|1.036630370781951e-06|19.879667002367515|NNS|NN|1|10.93737382019215|10.93737382019215
2|2.073260741563902e-06|18.879667002367515|NN|NN|2|9.93737382019215|19.8747476403843
3|3.109891112345853e-06|18.294704501646358|NNS|NN|3|9.352411319470992|28.057233958412976
11|1.1402934078601461e-05|16.420235383730216|NN|NN|6|8.352411319470992|50.11446791682595
12|1.2439564449383412e-05|16.294704501646358|NNS|NN|9|7.767448818749837|69.90703936874853
1|1.036630370781951e-06|19.879667002367515|JJ|JJ|1|10.93737382019215|10.93737382019215
2|2.073260741563902e-06|18.879667002367515|NN|NN|2|9.93737382019215|19.8747476403843
49|5.07948881683156e-05|14.264957158252306|RB|RB|37|5.727920454563199|211.93305681883837
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
5|5.183151853909755e-06|17.55773890748015|NN|NN|4|8.93737382019215|35.7494952807686
2|2.073260741563902e-06|18.879667002367515|NN|NN|2|9.93737382019215|19.8747476403843
8|8.293042966255608e-06|16.879667002367515|JJ|JJ|7|8.130018898134544|56.91013228694181
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
4|4.146521483127804e-06|17.879667002367515|IN|VB|4|8.93737382019215|35.7494952807686
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|RB|RB|1|10.93737382019215|10.93737382019215
26|2.6952389640330728e-05|15.179227284226421|VB|VB|18|6.767448818749837|121.81407873749706
1|1.036630370781951e-06|19.879667002367515|JJ|JJ|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NNS|NN|1|10.93737382019215|10.93737382019215
5|5.183151853909755e-06|17.55773890748015|NN|NN|5|8.615445725304786|43.07722862652393
19|1.969597704485707e-05|15.631739488923929|NN|NN|18|6.767448818749837|121.81407873749706
43|4.4575105943623895e-05|14.453402247665416|VBN|VB|29|6.079392825064577|176.30239192687273
44|4.5611736314405844e-05|14.420235383730217|NN|NN|26|6.236934102051057|162.1602866533275
1|1.036630370781951e-06|19.879667002367515|NNS|NN|1|10.93737382019215|10.93737382019215
2|2.073260741563902e-06|18.879667002367515|JJ|JJ|2|9.93737382019215|19.8747476403843
1|1.036630370781951e-06|19.879667002367515|VBZ|VB|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NNS|NN|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|VBG|VB|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
16|1.6586085932511215e-05|15.879667002367514|NN|NN|15|7.03048322458363|105.45724836875445
3|3.109891112345853e-06|18.294704501646358|VBD|VB|3|9.352411319470992|28.057233958412976
3|3.109891112345853e-06|18.294704501646358|NNS|NN|2|9.93737382019215|19.8747476403843
3|3.109891112345853e-06|18.294704501646358|NN|NN|3|9.352411319470992|28.057233958412976
6|6.219782224691706e-06|17.294704501646358|NN|NN|4|8.93737382019215|35.7494952807686
1|1.036630370781951e-06|19.879667002367515|VB|VB|1|10.93737382019215|10.93737382019215
6|6.219782224691706e-06|17.294704501646358|JJ|JJ|3|9.352411319470992|28.057233958412976
2|2.073260741563902e-06|18.879667002367515|VBP|VB|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|FW|FW|1|10.93737382019215|10.93737382019215
5|5.183151853909755e-06|17.55773890748015|IN|IN|2|9.93737382019215|19.8747476403843
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
6|6.219782224691706e-06|17.294704501646358|JJ|NN|4|8.93737382019215|35.7494952807686
1|1.036630370781951e-06|19.879667002367515|VBZ|VB|1|10.93737382019215|10.93737382019215
2|2.073260741563902e-06|18.879667002367515|JJ|JJ|2|9.93737382019215|19.8747476403843
1|1.036630370781951e-06|19.879667002367515|JJ|JJ|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NNS|NN|1|10.93737382019215|10.93737382019215
5|5.183151853909755e-06|17.55773890748015|VBP|VB|5|8.615445725304786|43.07722862652393
1|1.036630370781951e-06|19.879667002367515|VBN|VB|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|IN|IN|3|9.352411319470992|28.057233958412976
3|3.109891112345853e-06|18.294704501646358|NN|NN|2|9.93737382019215|19.8747476403843
4|4.146521483127804e-06|17.879667002367515|VBZ|VB|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|JJ|JJ|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
1|1.036630370781951e-06|19.879667002367515|NN|NN|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|NN|NN|1|10.93737382019215|10.93737382019215
5|5.183151853909755e-06|17.55773890748015|VBP|VB|4|8.93737382019215|35.7494952807686
1|1.036630370781951e-06|19.879667002367515|VBD|VB|1|10.93737382019215|10.93737382019215
3|3.109891112345853e-06|18.294704501646358|NNS|NN|3|9.352411319470992|28.057233958412976
